"Name of State / UT","Active Cases - Total","Active Cases - Change Since Yesterday","Cured/Discharged/Migrated - Cumulative","Cured/Discharged/Migrated - Change Since Yesterday","Deaths - Cumulative","Deaths - Change Since Yesterday","Deaths - Reconciled","Deaths - Total","Report Date","Load Date"
"Telangana","24000","2498","750809","3877","4101","1","","1",2022-02-08,2022-02-08
"Tripura","596","152","99182","185","919","1","","1",2022-02-08,2022-02-08
"Uttarakhand","12969","3440","409574","4062","7620","2","","2",2022-02-08,2022-02-08
"Uttar Pradesh","26725","1431","1996865","3822","23330","12","","12",2022-02-08,2022-02-08
"West Bengal","16864","1130","1968797","1742","20852","29","","29",2022-02-08,2022-02-08
"Andaman and Nicobar Islands","178","14","9636","32","129"," ","","",2022-02-09,2022-02-10
"Andhra Pradesh","54040","8355","2238226","10241","14677","5","","5",2022-02-09,2022-02-10
"Arunachal Pradesh","1254","189","62178","294","292"," ","","",2022-02-09,2022-02-10
"Assam","7612","823","708177","1246","6579","8","","8",2022-02-09,2022-02-10
"Bihar","2024","331","813553","600","12243","4","","4",2022-02-09,2022-02-10
"Chandigarh","1252","71","88501","154","1143","2","","2",2022-02-09,2022-02-10
"Chhattisgarh","11426","2280","1116380","3570","13961","10","","10",2022-02-09,2022-02-10
"Dadra and Nagar Haveli and Daman and Diu","88","7","11312","9","4"," ","","",2022-02-09,2022-02-10
"Delhi","6908","977","1813280","2079","26010","12","","12",2022-02-09,2022-02-10
"Goa","3930","447","235444","910","3754","6","","6",2022-02-09,2022-02-10
"Gujarat","33631","5013","1161305","7487","10716","28","","28",2022-02-09,2022-02-10
"Haryana","10222","1580","946742","2866","10433","17","","17",2022-02-09,2022-02-10
"Himachal Pradesh","4812","619","269126","1372","4060","9","","9",2022-02-09,2022-02-10
"Jammu and Kashmir","12358","2566","431019","3330","4728","7","","7",2022-02-09,2022-02-10
"Jharkhand","2272","149","424583","412","5314","1","","1",2022-02-09,2022-02-10
"Karnataka","72448","14666","3794866","19067","39447","51","","51",2022-02-09,2022-02-10
"Kerala***","284437","17746","5979002","46393","59939","233","591","824",2022-02-09,2022-02-10
"Ladakh","773","109","26063","179","226"," ","","",2022-02-09,2022-02-10
"Lakshadweep","144","4","11063","22","52"," ","","",2022-02-09,2022-02-10
"Madhya Pradesh","37143","3448","964970","6527","10668","4","","4",2022-02-09,2022-02-10
"Maharashtra","100019","9985","7573069","16035","143155","57","","57",2022-02-09,2022-02-10
"Manipur","3604","55","129494","209","2072","6","","6",2022-02-09,2022-02-10
"Meghalaya","1208","131","89761","285","1552","4","","4",2022-02-09,2022-02-10
"Mizoram","13385","606","175904","2409","626","3","","3",2022-02-09,2022-02-10
"Nagaland","668","23","33571","81","747","1","","1",2022-02-09,2022-02-10
"Odisha","16010","1947","1245026","3429","8775","21","","21",2022-02-09,2022-02-10
"Puducherry","3428","261","159181","444","1953","3","","3",2022-02-09,2022-02-10
"Punjab","7451","1299","728178","1762","17495","26","","26",2022-02-09,2022-02-10
"Rajasthan","37278","3602","1204206","6997","9407","16","","16",2022-02-09,2022-02-10
"Sikkim","568","29","37779","45","437","1","","1",2022-02-09,2022-02-10
"Tamil Nadu","90137","15755","3292559","20237","37809","37","","37",2022-02-09,2022-02-10
"Telangana","21470","2530","754399","3590","4102","1","","1",2022-02-09,2022-02-10
"Tripura","535","61","99261","79","919"," ","","",2022-02-09,2022-02-10
"Uttarakhand","10926","2043","412381","2807","7628","8","","8",2022-02-09,2022-02-10
"Uttar Pradesh","23180","3545","2002318","5453","23343","13","","13",2022-02-09,2022-02-10
"West Bengal","16009","855","1970356","1559","20884","32","","32",2022-02-09,2022-02-10
"Andaman and Nicobar Islands","139","13","9693","16","129"," ","","",2022-02-12,2022-02-12
"Andhra Pradesh","32413","8471","2264032","9632","14688","5","","5",2022-02-12,2022-02-12
"Arunachal Pradesh","850","128","62796","177","294","1","","1",2022-02-12,2022-02-12
"Assam","5263","505","711385","766","6596","6","","6",2022-02-12,2022-02-12
"Bihar","1421","239","814917","474","12246","1","","1",2022-02-12,2022-02-12
"Chandigarh","728","88","89332","180","1149","3","","3",2022-02-12,2022-02-12
"Chhattisgarh","8464","1433","1122488","2369","13988","10","","10",2022-02-12,2022-02-12
"Dadra and Nagar Haveli and Daman and Diu","28","7","11385","11","4"," ","","",2022-02-12,2022-02-12
"Delhi","4812","626","1818737","1591","26047","12","","12",2022-02-12,2022-02-12
"Goa","2804","398","237312","595","3768","4","","4",2022-02-12,2022-02-12
"Gujarat","18301","3136","1183294","5005","10775","14","","14",2022-02-12,2022-02-12
"Haryana","7039","850","954000","2025","10472","10","","10",2022-02-12,2022-02-12
"Himachal Pradesh","4132","212","271489","702","4076","9","","9",2022-02-12,2022-02-12
"Jammu and Kashmir","7424","1088","437708","1626","4741","2","","2",2022-02-12,2022-02-12
"Jharkhand","1968","120","425672","326","5314"," ","","",2022-02-12,2022-02-12
"Karnataka","44605","7442","3836915","11377","39575","41","","41",2022-02-12,2022-02-12
"Kerala***","206180","27567","6113257","43087","61626","241","251","492",2022-02-12,2022-02-12
"Ladakh","583","87","26530","147","226"," ","","",2022-02-12,2022-02-12
"Lakshadweep","89","9","11145","23","52"," ","","",2022-02-12,2022-02-12
"Madhya Pradesh","26179","3386","984500","5995","10682","3","","3",2022-02-12,2022-02-12
"Maharashtra","64865","9243","7626868","14635","143355","63","","63",2022-02-12,2022-02-12
"Manipur","2345","52","131216","158","2077","2","","2",2022-02-12,2022-02-12
"Meghalaya","928","92","90360","172","1559","1","","1",2022-02-12,2022-02-12
"Mizoram","12623","63","181931","1883","635","2","","2",2022-02-12,2022-02-12
"Nagaland","509","40","33858","74","750","1","","1",2022-02-12,2022-02-12
"Odisha","11823","931","1253914","2483","8838","20","","20",2022-02-12,2022-02-12
"Puducherry","1993","513","161121","661","1957","1","","1",2022-02-12,2022-02-12
"Punjab","4946","825","732291","1249","17575","21","","21",2022-02-12,2022-02-12
"Rajasthan","25779","3751","1225773","6632","9448","9","","9",2022-02-12,2022-02-12
"Sikkim","499","42","37960","70","437"," ","","",2022-02-12,2022-02-12
"Tamil Nadu","56002","10990","3337265","14051","37887","25","","25",2022-02-12,2022-02-12
"Telangana","15636","2118","762594","2850","4106","1","","1",2022-02-12,2022-02-12
"Tripura","256","51","99603","68","919"," ","","",2022-02-12,2022-02-12
"Uttarakhand","7993","846","417238","1348","7643","8","","8",2022-02-12,2022-02-12
"Uttar Pradesh","16640","1376","2014973","3143","23382","10","","10",2022-02-12,2022-02-12
"West Bengal","14184","621","1974568","1361","20965","27","","27",2022-02-12,2022-02-12
"Andaman and Nicobar Islands","139"," ","9706","13","129"," ","","",2022-02-13,2022-02-13
"Andhra Pradesh","24454","7959","2272881","8849","14694","6","","6",2022-02-13,2022-02-13
"Arunachal Pradesh","695","155","62993","197","294"," ","","",2022-02-13,2022-02-13
"Assam","4730","533","712085","700","6601","5","","5",2022-02-13,2022-02-13
"Bihar","1347","74","815160","243","12251","5","","5",2022-02-13,2022-02-13
"Chandigarh","686","42","89459","127","1151","2","","2",2022-02-13,2022-02-13
"Chhattisgarh","8195","269","1123498","1010","14001","13","","13",2022-02-13,2022-02-13
"Dadra and Nagar Haveli and Daman and Diu","29","1","11392","7","4"," ","","",2022-02-13,2022-02-13
"Delhi","4331","481","1820125","1388","26060","13","","13",2022-02-13,2022-02-13
"Goa","2488","316","237784","472","3769","1","","1",2022-02-13,2022-02-13
"Gujarat","15972","2329","1187249","3955","10795","20","","20",2022-02-13,2022-02-13
"Haryana","6889","150","955316","1316","10479","7","","7",2022-02-13,2022-02-13
"Himachal Pradesh","3986","146","272040","551","4080","4","","4",2022-02-13,2022-02-13
"Jammu and Kashmir","6255","1169","439332","1624","4744","3","","3",2022-02-13,2022-02-13
"Jharkhand","1867","101","425953","281","5314"," ","","",2022-02-13,2022-02-13
"Karnataka","38781","5824","3845903","8988","39613","38","","38",2022-02-13,2022-02-13
"Kerala***","182118","24062","6152076","38819","62053","145","282","427",2022-02-13,2022-02-13
"Ladakh","570","13","26604","74","226"," ","","",2022-02-13,2022-02-13
"Lakshadweep","77","12","11167","22","52"," ","","",2022-02-13,2022-02-13
"Madhya Pradesh","22390","3789","990720","6220","10689","7","","7",2022-02-13,2022-02-13
"Maharashtra","56206","8659","7639854","12986","143387","32","","32",2022-02-13,2022-02-13
"Manipur","2321","24","131347","131","2080","3","","3",2022-02-13,2022-02-13
"Meghalaya","850","78","90522","162","1561","2","","2",2022-02-13,2022-02-13
"Mizoram","12116","507","183668","1737","636","1","","1",2022-02-13,2022-02-13
"Nagaland","503","6","33920","62","750"," ","","",2022-02-13,2022-02-13
"Odisha","11257","566","1255995","2081","8862","24","","24",2022-02-13,2022-02-13
"Puducherry","1581","412","161614","493","1957"," ","","",2022-02-13,2022-02-13
"Punjab","4247","699","733402","1111","17585","10","","10",2022-02-13,2022-02-13
"Rajasthan","23404","2375","1230746","4973","9456","8","","8",2022-02-13,2022-02-13
"Sikkim","464","35","38026","66","437"," ","","",2022-02-13,2022-02-13
"Tamil Nadu","47643","8359","3348419","11154","37904","17","","17",2022-02-13,2022-02-13
"Telangana","13674","1962","765239","2645","4106"," ","","",2022-02-13,2022-02-13
"Tripura","206","50","99665","62","919"," ","","",2022-02-13,2022-02-13
"Uttarakhand","7814","179","417862","624","7645","2","","2",2022-02-13,2022-02-13
"Uttar Pradesh","15276","1364","2018074","3101","23391","9","","9",2022-02-13,2022-02-13
"West Bengal","13484","700","1975915","1347","20990","25","","25",2022-02-13,2022-02-13
"Andaman and Nicobar Islands","83","13","9782","21","129"," ","","",2022-02-18,2022-02-18
"Andhra Pradesh","9470","1338","2290853","1864","14707","2","","2",2022-02-18,2022-02-18
"Arunachal Pradesh","361","60","63544","100","295","1","","1",2022-02-18,2022-02-18
"Assam","2479","376","714759","419","6623","4","","4",2022-02-18,2022-02-18
"Bihar","877","100","816327","225","12253"," ","","",2022-02-18,2022-02-18
"Chandigarh","375","60","89956","93","1158","2","","2",2022-02-18,2022-02-18
"Chhattisgarh","4056","747","1130227","1166","14018","2","","2",2022-02-18,2022-02-18
"Dadra and Nagar Haveli and Daman and Diu","21","4","11410","4","4"," ","","",2022-02-18,2022-02-18
"Delhi","3026","171","1825050","905","26091","5","","5",2022-02-18,2022-02-18
"Goa","1227","381","239496","481","3785","3","","3",2022-02-18,2022-02-18
"Gujarat","8014","1364","1200204","2221","10864","13","","13",2022-02-18,2022-02-18
"Haryana","4427","533","961697","1263","10512","8","","8",2022-02-18,2022-02-18
"Himachal Pradesh","2246","327","275098","584","4089","3","","3",2022-02-18,2022-02-18
"Jammu and Kashmir","2978","705","444069","937","4745"," ","","",2022-02-18,2022-02-18
"Jharkhand","1066"," ","427301"," ","5315"," ","","",2022-02-18,2022-02-18
"Karnataka","19797","3523","3873580","5079","39738","23","","23",2022-02-18,2022-02-18
"Kerala***","100211","14371","6285477","22707","63338","126","193","319",2022-02-18,2022-02-18
"Ladakh","416","51","27051","105","228"," ","","",2022-02-18,2022-02-18
"Lakshadweep","67","1","11239","11","52"," ","","",2022-02-18,2022-02-18
"Madhya Pradesh","11535","1458","1009345","2780","10709","6","","6",2022-02-18,2022-02-18
"Maharashtra","27798","3626","7681961","6383","143532","40","","40",2022-02-18,2022-02-18
"Manipur","2094","50","132055","151","2090","2","","2",2022-02-18,2022-02-18
"Meghalaya","510","40","91098","82","1565"," ","","",2022-02-18,2022-02-18
"Mizoram","10592","752","192093","1871","640"," ","","",2022-02-18,2022-02-18
"Nagaland","347","20","34228","42","753"," ","","",2022-02-18,2022-02-18
"Odisha","7252","595","1264571","1465","8961","16","","16",2022-02-18,2022-02-18
"Puducherry","691","45","162834","113","1959"," ","","",2022-02-18,2022-02-18
"Punjab","2279","427","736804","689","17642","7","","7",2022-02-18,2022-02-18
"Rajasthan","14085","2011","1247894","3510","9501","7","","7",2022-02-18,2022-02-18
"Sikkim","214","35","38344","46","440"," ","","",2022-02-18,2022-02-18
"Tamil Nadu","23772","3522","3380049","4768","37962","6","","6",2022-02-18,2022-02-18
"Telangana","6746","927","774742","1380","4108"," ","","",2022-02-18,2022-02-18
"Tripura","111","9","99797","19","919"," ","","",2022-02-18,2022-02-18
"Uttarakhand","4601","797","422347","1085","7667","3","","3",2022-02-18,2022-02-18
"Uttar Pradesh","9492","1474","2029351","2318","23419","5","","5",2022-02-18,2022-02-18
"West Bengal","8776","915","1982605","1367","21094","15","","15",2022-02-18,2022-02-18
"Andaman and Nicobar Islands","61","22","9810","28","129"," ","","",2022-02-19,2022-02-19
"Andhra Pradesh","8421","1049","2292396","1543","14708","1","","1",2022-02-19,2022-02-19
"Arunachal Pradesh","351","10","63597","53","296","1","","1",2022-02-19,2022-02-19
"Assam","2313","166","714968","209","6626","3","","3",2022-02-19,2022-02-19
"Bihar","783","94","816510","183","12255","2","","2",2022-02-19,2022-02-19
"Chandigarh","311","64","90049","93","1160","2","","2",2022-02-19,2022-02-19
"Chhattisgarh","3856","200","1130816","589","14021","3","","3",2022-02-19,2022-02-19
"Dadra and Nagar Haveli and Daman and Diu","16","5","11417","7","4"," ","","",2022-02-19,2022-02-19
"Delhi","2775","251","1825904","854","26095","4","","4",2022-02-19,2022-02-19
"Goa","807","420","240008","512","3788","3","","3",2022-02-19,2022-02-19
"Gujarat","6736","1278","1202089","1885","10874","10","","10",2022-02-19,2022-02-19
"Haryana","3995","432","962799","1102","10517","5","","5",2022-02-19,2022-02-19
"Himachal Pradesh","2047","199","275581","483","4090","1","","1",2022-02-19,2022-02-19
"Jammu and Kashmir","2597","381","444646","577","4746","1","","1",2022-02-19,2022-02-19
"Jharkhand","837","229","427696","395","5315"," ","","",2022-02-19,2022-02-19
"Karnataka","16221","3576","3878470","4890","39757","19","","19",2022-02-19,2022-02-19
"Kerala***","86666","13545","6306611","21134","63529","61","130","191",2022-02-19,2022-02-19
"Ladakh","405","11","27113","62","228"," ","","",2022-02-19,2022-02-19
"Lakshadweep","67"," ","11243","4","52"," ","","",2022-02-19,2022-02-19
"Madhya Pradesh","9706","1829","1012060","2715","10711","2","","2",2022-02-19,2022-02-19
"Maharashtra","25142","2656","7686670","4709","143547","15","","15",2022-02-19,2022-02-19
"Manipur","687","1407","133543","1488","2092","2","","2",2022-02-19,2022-02-19
"Meghalaya","473","37","91189","91","1566","1","","1",2022-02-19,2022-02-19
"Mizoram","9919","673","193916","1823","641","1","","1",2022-02-19,2022-02-19
"Nagaland","316","31","34271","43","753"," ","","",2022-02-19,2022-02-19
"Odisha","6636","616","1265843","1272","8976","15","","15",2022-02-19,2022-02-19
"Puducherry","586","105","162989","155","1959"," ","","",2022-02-19,2022-02-19
"Punjab","1875","404","737373","569","17651","9","","9",2022-02-19,2022-02-19
"Rajasthan","12200","1885","1251006","3112","9507","6","","6",2022-02-19,2022-02-19
"Sikkim","189","25","38381","37","440"," ","","",2022-02-19,2022-02-19
"Tamil Nadu","20681","3091","3384278","4229","37970","8","","8",2022-02-19,2022-02-19
"Telangana","6111","635","775802","1060","4108"," ","","",2022-02-19,2022-02-19
"Tripura","94","17","99820","23","919"," ","","",2022-02-19,2022-02-19
"Uttarakhand","3440","1161","423724","1377","7669","2","","2",2022-02-19,2022-02-19
"Uttar Pradesh","8683","809","2030997","1646","23424","5","","5",2022-02-19,2022-02-19
"West Bengal","7736","1040","1983951","1346","21107","13","","13",2022-02-19,2022-02-19
"Andaman and Nicobar Islands","15","3","9872","4","129"," ","","",2022-02-26,2022-02-26
"Andhra Pradesh","4709","218","2298033","496","14722","2","","2",2022-02-26,2022-02-26
"Arunachal Pradesh","178","43","63928","59","296"," ","","",2022-02-26,2022-02-26
"Assam","1610","56","715840","73","6638","1","","1",2022-02-26,2022-02-26
"Bihar","349","31","817349","80","12255"," ","","",2022-02-26,2022-02-26
"Chandigarh","167","9","90356","31","1164"," ","","",2022-02-26,2022-02-26
"Chhattisgarh","1961","100","1134554","315","14024","1","","1",2022-02-26,2022-02-26
"Dadra and Nagar Haveli and Daman and Diu","1","2","11433","2","4"," ","","",2022-02-26,2022-02-26
"Delhi","2085","191","1830412","649","26117","2","","2",2022-02-26,2022-02-26
"Goa","347","60","240791","90","3800","2","","2",2022-02-26,2022-02-26
"Gujarat","2538","404","1208657","644","10924","5","","5",2022-02-26,2022-02-26
"Haryana","2310","190","967898","585","10551","4","","4",2022-02-26,2022-02-26
"Himachal Pradesh","1322","149","277637","297","4114","1","","1",2022-02-26,2022-02-26
"Jammu and Kashmir","995","92","447074","187","4748"," ","","",2022-02-26,2022-02-26
"Jharkhand","520","33","428436","85","5315"," ","","",2022-02-26,2022-02-26
"Karnataka","7556","736","3892459","1349","39900","15","","15",2022-02-26,2022-02-26
"Kerala***","38040","4433","6388398","7837","64980","49","128","177",2022-02-26,2022-02-26
"Ladakh","230","18","27513","42","228"," ","","",2022-02-26,2022-02-26
"Lakshadweep","14","8","11331","8","52"," ","","",2022-02-26,2022-02-26
"Madhya Pradesh","4809","361","1022161","889","10726","2","","2",2022-02-26,2022-02-26
"Maharashtra","12682","1560","7707254","2521","143687","12","","12",2022-02-26,2022-02-26
"Manipur","536","27","134046","60","2108","3","","3",2022-02-26,2022-02-26
"Meghalaya","211","10","91627","34","1575","2","","2",2022-02-26,2022-02-26
"Mizoram","8106","303","203456","1207","655","3","","3",2022-02-26,2022-02-26
"Nagaland","139","13","34502","18","754"," ","","",2022-02-26,2022-02-26
"Odisha","2843","247","1272428","585","9052","7","","7",2022-02-26,2022-02-26
"Puducherry","202","25","163528","39","1960"," ","","",2022-02-26,2022-02-26
"Punjab","848","51","739310","164","17701","7","","7",2022-02-26,2022-02-26
"Rajasthan","5739","857","1263081","1510","9535"," ","","",2022-02-26,2022-02-26
"Sikkim","78","3","38540","12","442"," ","","",2022-02-26,2022-02-26
"Tamil Nadu","8150","1290","3401938","1794","38000","3","","3",2022-02-26,2022-02-26
"Telangana","3810","282","780462","569","4111"," ","","",2022-02-26,2022-02-26
"Tripura","42","3","99898","4","919"," ","","",2022-02-26,2022-02-26
"Uttarakhand","2342","15","425891","106","7679","1","","1",2022-02-26,2022-02-26
"Uttar Pradesh","4409","357","2038979","823","23447","1","","1",2022-02-26,2022-02-26
"West Bengal","1988","174","1991410","430","21169","4","","4",2022-02-26,2022-02-26
